Group,Subgroup,Emoji,Title,DescribedBy,URL,Description,Codepoints Hex
smiley,Smiling & Affectionate,😊,Smiling Face with Smiling Eyes,smiling-face-with-smiling-eyes,/smiling-face-with-smiling-eyes,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings. An emoji form of the ^^ emoticon. On Snapchat , this emoji next to a contact denotes that you message that person often but they aren't your #1 Best Friend .",U+1F60A
smiley,Smiling & Affectionate,😇,Smiling Face with Halo,smiling-face-with-halo,/smiling-face-with-halo,"A yellow face with smiling eyes, closed smile, and halo , usually blue, overhead. Often represents angels, prayers , and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel . Several platforms, including Apple, feature an expression similar to their 😊 Smiling Face With Smiling Eyes.",U+1F607
smiley,Smiling & Affectionate,🥰,Smiling Face with Hearts,smiling-face-with-hearts,/smiling-face-with-hearts,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The placement of the hearts varies slightly by platform. Apple's design features the same expression as its ☺️ Smiling Face emoji design.",U+1F970
smiley,Smiling & Affectionate,😍,Smiling Face with Heart-Eyes,smiling-face-with-heart-eyes,/smiling-face-with-heart-eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing. This emoji has a cat variant, 😻 Smiling Cat Face With Heart-Eyes .",U+1F60D
smiley,Smiling & Affectionate,🤩,Star-Struck,star-struck,/star-struck,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting.",U+1F929
smiley,Smiling & Affectionate,😘,Face Blowing a Kiss,face-blowing-a-kiss,/face-blowing-a-kiss,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart . May represent a kiss goodbye or good night and convey feelings of love and affection more generally. Many platforms feature the same eyes as on their 😉 Winking Face . Microsoft’s design previously featured a feminine smiley with long eyelashes and red lipstick , which could leave a kiss mark .",U+1F618
smiley,Smiling & Affectionate,😗,Kissing Face,kissing-face,/kissing-face,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection. Like 😙 Kissing Face With Smiling Eyes , this emoji is sometimes taken to represent whistling, especially when paired with a musical note . May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person casually whistling after wrongdoing saying, Nothing to look at here . Similar to 😙 Kissing Face With Smiling Eyes and 😚 Kissing Face With Closed Eyes but with less intimate eyes.",U+1F617
smiley,Smiling & Affectionate,☺️,Smiling Face,smiling-face,/smiling-face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude. Similar to 😊 Smiling Face With Smiling Eyes, which has a broader smile, no eyebrows, and smiling eyes. This smiley predates Unicode emoji support. In its Unicode name of White Smiling Face , white does not refer to skin tone or ethnicity. See the glossary for the term white in Unicode character names.","U+263A,U+FE0F"
smiley,Smiling & Affectionate,😚,Kissing Face with Closed Eyes,kissing-face-with-closed-eyes,/kissing-face-with-closed-eyes,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their ☺️ Smiling Face . With its closed eyes, features an expression more intimate than 😙 Kissing Face With Smiling Eyes ’s and 😗 Kissing Face ’s. This emoji has a cat variant, 😽 Kissing Cat Face .",U+1F61A
smiley,Smiling & Affectionate,😙,Kissing Face with Smiling Eyes,kissing-face-with-smiling-eyes,/kissing-face-with-smiling-eyes,"A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection. Like 😗 Kissing Face , this emoji is sometimes taken to represent whistling, especially when paired with a musical note . May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person with hands in pocket casually whistling after wrongdoing, as if saying Nothing to look at here . With its smiling eyes, this emoji generally features an expression fonder than 😗 Kissing Face 's but less intimate than 😚 Kissing Face With Closed Eyes 's. Expect for on Huawei devices, where this emoji's lips are plump and red like the 💋 Kiss Mark emoji.",U+1F619
smiley,Smiling & Affectionate,😏,Smirking Face,smirking-face,/smirking-face,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo. Not to be confused with 😒 Unamused Face , which has similar eyes but a pouting mouth. This emoji has a cat variant, 😼 Cat Face With Wry Smile . On Snapchat , this emoji next to a contact denotes that this person snaps you frequently but you do not often snap them in return.",U+1F60F
smiley,"Tongues, Hands & Accessories",😋,Face Savoring Food,face-savoring-food,/face-savoring-food,"A yellow face with smiling eyes and a broad, closed smile with its tongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive.",U+1F60B
smiley,"Tongues, Hands & Accessories",😛,Face with Tongue,face-with-tongue,/face-with-tongue,"A yellow face with small, open eyes and a big grin, playfully sticking out its tongue . Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if saying Just kidding! Generally less goofy than 😜 Winking Face With Tongue and less animated than 😝 Squinting Face With Tongue . Google previously featured a more defeated expression and Samsung , a more mocking one. Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.",U+1F61B
smiley,"Tongues, Hands & Accessories",🤪,Zany Face,zany-face,/zany-face,"A yellow face with its head tilted, its tongue hanging out of a big grin, and wide eyes in a wild, cockeyed expression. Generally used to express silliness. Commonly represents acting goofy, having fun, and partying and is usually used in a positive manner. May be used in reference to someone or something that is off-kilter. Microsoft , and WhatsApp previously displayed a full-toothed grin instead of an open mouth with a protruding tongue, which appeared less silly and more menacing. Google's design used to show the mouth in a grimace, which also read as more disturbing than silly.",U+1F92A
smiley,"Tongues, Hands & Accessories",😝,Squinting Face with Tongue,squinting-face-with-tongue,/squinting-face-with-tongue,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out its tongue . Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if saying Squee! or Awesome! Similar to 😆 Grinning Squinting Face . Generally more exuberant than 😛 Face With Tongue and 😜 Winking Face With Tongue . Samsung previously featured a more sour expression. Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways.",U+1F61D
smiley,"Tongues, Hands & Accessories",🤑,Money-Mouth Face,money-mouth-face,/money-mouth-face,"A yellow face with raised eyebrows, currency symbols for eyes (usually dollar signs ), and an open smile sticking out a tongue (usually colored green with a dollar sign , echoing a dollar banknote ). Facebook's design shows this emoji's dollar sign eyes over a gray coin shape, while Huawei's emoji design has yen-shaped eyes instead of dollar signs . Used for a wide range of content dealing with money, including making money, loving wealth, being or feeling rich, and concepts of success and excellence (e.g., on the money ).",U+1F911
smiley,"Tongues, Hands & Accessories",🤗,Smiling Face with Open Hands,hugging-face,/hugging-face,"A yellow face smiling with open hands , as if giving a hug. May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally. Due to its hand gesture, often used to represent jazz hands, indicating such feelings as excitement, enthusiasm, or a sense of flourish or accomplishment. Joins 🤔 Thinking Face , 🤫 Shushing Face , and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands. For a more obvious hug, see 🫂 People Hugging (new in 2020).",U+1F917
smiley,"Tongues, Hands & Accessories",🤭,Face with Hand Over Mouth,face-with-hand-over-mouth,/face-with-hand-over-mouth,"A yellow face with a hand covering its mouth. Displays most often with smiling eyes and/or blushing cheeks, suggesting coy laughter or embarrassment, as if cheekily saying Oops! Prior to the release of iOS 15.4 in March 2022, Apple's design featured simple, open eyes, suggesting someone gasping Oh my! in serious surprise, shock, concern, or apology. This same update assigned Apple's original 🤭 design to Emoji 14.0 's new 🫢 Face with Open Eyes and Hand Over Mouth emoji. May be used to similar effect as 🙊 Speak-No-Evil Monkey. See also 🤐 Zipper-Mouth Face . Joins 🤗 Hugging Face , 🤔 Thinking Face , and 🤫 Shushing Face as one of the few smileys featuring hands. Facebook's design previously featured open eyes, though an earlier version had smiling eyes like those in the vendor's current design.",U+1F92D
smiley,"Tongues, Hands & Accessories",🫢,Face with Open Eyes and Hand Over Mouth,face-with-open-eyes-and-hand-over-mouth,/face-with-open-eyes-and-hand-over-mouth,"A yellow face with open (non-smiling) eyes and a hand over the mouth, used to convey shock or surprise. A disambiguation of 🤭 Face with Hand Over Mouth which appears to have smiling eyes on some platforms, and open/non-smiling eyes on others, creating confusion . Appearance is similar to 🥱 Yawning Face , though no mouth is visible.",U+1FAE2
smiley,"Tongues, Hands & Accessories",🫣,Face with Peeking Eye,face-with-peeking-eye,/face-with-peeking-eye,"A yellow face with its hands over its eyes and raised eyebrows. One wide eye is peeking through the fingers. Can be used to express the duality of wanting to look away from something because it's frightening, disgusting, or embarrassing, but not being able to.",U+1FAE3
smiley,"Tongues, Hands & Accessories",🤫,Shushing Face,shushing-face,/shushing-face,"A yellow face placing an index finger over pursed lips, as if issuing Shh! or Shush! for silence. Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly. May convey silence, quiet, secrecy, and discreetness. May also create a sense of buzz and anticipation, e.g., an exclusive sneak peek or news scoop. May also be combined with one of the 🧏 Deaf Person emojis to reference "" mewing "". See also 🤐 Zipper-Mouth Face . Joins 🤗 Hugging Face , 🤔 Thinking Face , and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands.",U+1F92B
smiley,"Tongues, Hands & Accessories",🤔,Thinking Face,thinking-face,/thinking-face,"A yellow face with furrowed eyebrows looking upwards with thumb and index finger resting on its chin. Intended to show a person pondering or deep in thought. Often used to question or scorn something or someone, as if saying Hmm, I don't know about that . Tone varies, including earnest, playful, puzzled, skeptical, and mocking. May be paired with 💭 Thought Balloon or 💡 Light Bulb to represent thinking, (having) ideas, and learning. Joins 🤗 Hugging Face , 🤫 Shushing Face , and 🤭 Face With Hand Over Mouth as one of the few smileys featuring a hand.",U+1F914
smiley,"Tongues, Hands & Accessories",🫡,Saluting Face,saluting-face,/saluting-face,"A yellow face with its right hand saluting. Used as a sign of respect. The expression of the face of this emoji can vary across platforms, with some designs featuring a neutral face while others are shown smiling to various degrees. Apple and Huewai's designs notably only display half a face, likely to make the saluting hand more prominent when this emoji is viewed in smaller sizes. This emoji went viral across Twitter in late 2022 following the news that the platform would be dramatically reducing its staff numbers as part of a company-wide restructuring following its acquisition by Elon Musk. Learn more here.",U+1FAE1
smiley,"Tongues, Hands & Accessories",🤤,Drooling Face,drooling-face,/drooling-face,"A yellow face, usually shown with closed eyes and raised eyebrows, with saliva drooling from one corner of its mouth. Often used to show desire for a person ( sexy , attractive ) or object (e.g., delicious food). May also represent someone is tired or sleeping. Not to be confused with 😋 Face Savoring Food or 😪 Sleepy Face . Samsung's design previously featured a startled facial expression.",U+1F924
smiley,"Tongues, Hands & Accessories",🤠,Cowboy Hat Face,cowboy-hat-face,/cowboy-hat-face,"Yee-haw! A yellow smiley wearing a wide-brimmed, brown-leather cowboy hat. Its smile varies across platforms. May convey a sense of exuberance, whimsy, confidence, adventure, or other sentiments. Several vendors, including Apple, feature the same expression as their 😃 Grinning Face With Big Eyes .",U+1F920
smiley,"Tongues, Hands & Accessories",🥳,Partying Face,partying-face,/partying-face,A yellow face with a party hat blowing a party horn as confetti floats around its head. Used for celebrating joyous occasions (such as New Year's Eve or World Emoji Day ) and enjoying good times more generally. Apple’s design features the same expression as its 😚 Kissing Face With Closed Eyes .,U+1F973
smiley,"Tongues, Hands & Accessories",🥸,Disguised Face,disguised-face,/disguised-face,"A yellow face with big glasses, a large nose, thick eyebrows, and a mustache. Used to represent someone in disguise. The features of this particular disguised face are taken from the “Groucho Mask” or “Groucho Glasses,” designed in the likeness of the caricature played by Julius Henry Marx in the Marx Brothers' films. These comedic films were popular in the 1930s and ‘40s, and the mask has been a mainstay of joke shops since as early as the 1940s . Other emoji faces in disguise include 🦸 Superhero and 🦹 Supervillain .",U+1F978
smiley,"Tongues, Hands & Accessories",😎,Smiling Face with Sunglasses,smiling-face-with-sunglasses,/smiling-face-with-sunglasses,"A yellow face with a broad, closed smile wearing black sunglasses , as if a pair of classic Wayfarers . Often used to convey the slang sense of cool . May also express a confident, carefree attitude or that something is excellent. 🤓 Nerd Face wears similarly shaped eyeglasses . On Snapchat , this emoji next to a contact denotes that you have best friends in common with this person.",U+1F60E
smiley,"Tongues, Hands & Accessories",🤓,Nerd Face,nerd-face,/nerd-face,"A smiling yellow face with glasses, often with teeth showing, originally buck teeth on most platforms. While this emoji is often used by people calling themselves nerds in a self-deprecating way, the nerdy glasses paired with buck teeth can, and often does, evoke anti-Asian stereotypes. The fact that the default color of emoji faces is yellow further pushes this emoji into racist "" yellowface "" territory. Some platforms have redesigned nerd face over time to not have buck teeth, perhaps in acknowledgement of the harm this imagery may cause. Google, Facebook, WhatsApp, and JoyPixels originally featured designs with buck teeth but have since changed (or completely removed) the teeth on nerd face . Apple, Twitter, Microsoft, Samsung, and other platforms still use designs for this emoji that include buck teeth.",U+1F913
smiley,"Tongues, Hands & Accessories",🧐,Face with Monocle,face-with-monocle,/face-with-monocle,"A yellow face with furrowed eyebrows wearing a monocle . Usually depicted with a small, intent frown and head slightly upturned, as if in careful inspection. May show that someone is pondering, considering, or questioning something, sometimes with a sense of skeptical or ironic observation or encouraging a closer look at some content. May convey a sense of sophistication or smug intelligence, e.g., smarty-pants.",U+1F9D0
smiley,Neutral & Skeptical,🙃,Upside-Down Face,upside-down-face,/upside-down-face,"A classic smiley, turned upside down. Implemented as a flipped version of 🙂 Slightly Smiling Face on most platforms. Commonly used to convey irony, sarcasm, joking, or a sense of goofiness or silliness. Its intent can be similar to the bemused Oh well! of 🤷 Person Shrugging or the shruggie emoticon, ¯\_(ツ)_/¯. Microsoft's design previously featured a full-toothed grin.",U+1F643
smiley,Neutral & Skeptical,🫠,Melting Face,melting-face,/melting-face,"A yellow smiley face melting into a puddle. The eyes and mouth slip down the face, yet still maintain a distorted smile. This quality lends this emoji to sarcasm. Can be used literally to talk about extreme heat. Can also be used metaphorically to talk about embarrassment, shame, a slowly sinking sense of dread, or feeling overwhelmed in some way.",U+1FAE0
smiley,Neutral & Skeptical,🤐,Zipper-Mouth Face,zipper-mouth-face,/zipper-mouth-face,"A yellow face with simple, open eyes and a closed zipper for a mouth. Meaning widely varies, but commonly conveys a secret or that someone will keep one (e.g., My lips are sealed ). May also be used to tell someone to stop talking (e.g., Z ip it! or I’ll shut up now ). Google's design for 😯 Hushed Face previously featured a zipper-mouth.",U+1F910
smiley,Neutral & Skeptical,🤨,Face with Raised Eyebrow,face-with-raised-eyebrow,/face-with-raised-eyebrow,"A yellow face with a flat, neutral mouth and furrowed eyebrows, its left raised higher than its right. Conveys a wide variety of sentiments, including suspicion, skepticism, concern, consideration, disbelief, and disapproval. Its expression has notably been likened to the signature look of comedian Stephen Colbert as well as actor/wrestler Dwayne “The Rock” Johnson .",U+1F928
smiley,Neutral & Skeptical,😐,Neutral Face,neutral-face,/neutral-face,"A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.",U+1F610
smiley,Neutral & Skeptical,😑,Expressionless Face,expressionless-face,/expressionless-face,"A yellow face with flat, closed eyes and mouth. May convey a sense of frustration or annoyance more intense than suggested by 😐 Neutral Face , as if taking a moment to collect itself. Microsoft's design previously displayed this emoji with its eyes open, while Samsung's design previously had eyebrows.",U+1F611
smiley,Neutral & Skeptical,😶,Face Without Mouth,face-without-mouth,/face-without-mouth,"A yellow face with simple, open eyes and no mouth, as if at a loss for words. Meaning widely varies, but commonly conveys speechlessness, humility, and silence. May also convey moderately negative emotions, such as disappointment, frustration, or sadness. Samsung’s design previously featured raised eyebrows and blushing cheeks.",U+1F636
smiley,Neutral & Skeptical,🫥,Dotted Line Face,dotted-line-face,/dotted-line-face,"A muted yellow neutral face with a dotted or dashed outline. An established comic book trope, dotted lines around a character can represent someone that is invisible or hidden. It can also represent smallness, submissiveness, isolation, and depression. This emoji has the same expression as 😐 Neutral Face .",U+1FAE5
smiley,Neutral & Skeptical,😶‍🌫️,Face in Clouds,face-in-clouds,/face-in-clouds,"A face that appears surrounded by clouds or a haze of smoke. Ambiguous in appearance, this may represent a foggy state of mind, confusion, or even a sense of calm bliss. May also be used to indicate the presence of smoke .","U+1F636,U+200D,U+1F32B,U+FE0F"
smiley,Neutral & Skeptical,😒,Unamused Face,unamused-face,/unamused-face,"A yellow face with slightly raised eyebrows, a frown, and eyes looking to the side. May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving the side-eye . Not to be confused with 😏 Smirking Face , which features similar eyes but a wry smile.",U+1F612
smiley,Neutral & Skeptical,🙄,Face with Rolling Eyes,face-with-rolling-eyes,/face-with-rolling-eyes,"A yellow face with a small, closed mouth, flat or frowning, rolling its large, white eyes upwards. As with the gesture of an eye-roll, commonly conveys moderate disdain, disapproval, frustration, or boredom. Tone varies, including playful, sassy, resentful, and sarcastic, as if saying Yeah, whatever . Samsung's design previously depicted a face smiling and looking to the side.",U+1F644
smiley,Neutral & Skeptical,😮‍💨,Face Exhaling,face-exhaling,/face-exhaling,"A face showing a visible breath of air being dispelled. Used to represent relief, exhaustion, or as a sigh of disappointment or displeasure. May also be used to indicate the exhaling of smoke .","U+1F62E,U+200D,U+1F4A8"
smiley,Neutral & Skeptical,🤥,Lying Face,lying-face,/lying-face,"A yellow face with raised eyebrows, enlarged eyes, slight frown, and long nose, indicating it’s telling a lie in the manner of Pinocchio . Like that character, Facebook's design features a wooden nose. May represent lying, a liar, and other concepts of deceit and dishonesty to varying degrees of intensity. Sometimes used to convey disbelief (e.g., You must be kidding ) or feeling abashed (e.g., as if caught in the act of lying).",U+1F925
smiley,Neutral & Skeptical,🫨,Shaking Face,shaking-face,/shaking-face,"A face that appears to be shaking from side to side with its eyes and mouth open wide. This emoji finds its origins in the comic book and cartoon trope of a shaking face. It can be used to express shaking from external forces like earthquakes, loud noises, or dinosaurs walking nearby. It can also be used to express shaking caused by strong emotions such as shock, fear, confusion, disbelief, anticipation, and excitement. Additionally it can represent dizziness, double takes, or double vision.",U+1FAE8
smiley,Neutral & Skeptical,🙂‍↔️,Head Shaking Horizontally,head-shaking-horizontally,/head-shaking-horizontally,"A yellow smiley face with closed eyes and a mouth with a subtle upward curl, shown with motion lines indicating that the smiley is shaking its head back and forth horizontally. This is intended to depict a shaking head gesture, which is commonly (but not universally) used to indicate disagreement, denial, or rejection.","U+1F642,U+200D,U+2194,U+FE0F"
smiley,Neutral & Skeptical,🙂‍↕️,Head Shaking Vertically,head-shaking-vertically,/head-shaking-vertically,"A yellow smiley face with closed eyes and a mouth with a subtle upward curl, shown with motion lines indicating that the smiley is shaking its head up and down vertically. This is intended to depict a nodding gesture, which is commonly (but not universally) used to indicate agreement, acceptance, or acknowledgment.","U+1F642,U+200D,U+2195,U+FE0F"
smiley,Sleepy & Unwell,😌,Relieved Face,relieved-face,/relieved-face,"A yellow face with soft, closed eyes, raised eyebrows, and a slight smile. Facebook’s design features a slightly open mouth, as if sighing. Conveys various pleasant feelings, including contentment, calm, peace, and relief. May also convey feelings of happiness or good-natured humor more generally. Google and Microsoft previously included sweat beads. Not to be confused with 😔 Pensive Face , which has similarly shaped eyes but in a sadder expression.",U+1F60C
smiley,Sleepy & Unwell,😔,Pensive Face,pensive-face,/pensive-face,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth. May convey a variety of sad emotions, including feeling disappointed, hurt, or lonely. Less intense than other sad emojis like 😭 Loudly Crying Face and more introspective. Microsoft's design previously featured a more neutral, bored expression. Samsung’s design previously looked more guilty or worried. Not to be confused with 😌 Relieved Face , which has similarly shaped eyes but in a happier expression.",U+1F614
smiley,Sleepy & Unwell,😪,Sleepy Face,sleepy-face,/sleepy-face,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face While sometimes used to convey sadness, dissastification, or illness, Sleepy Face is also not to be confused with 😢 Crying Face , 😥 Sad but Relieved Face , or other emojis with tear or sweat droplets. Samsung’s design previously featured two, cartoon-styled, sleeping-symbol Zz’s overhead. A previous Microsoft design appeared similar to 😌 Relieved Face .",U+1F62A
smiley,Sleepy & Unwell,😴,Sleeping Face,sleeping-face,/sleeping-face,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz ’s overhead to indicate it's sound asleep. The Zzz’s appear blue or purple across most platforms. May also represent boredom (slang, snooze ). Generally used instead of 😪 Sleepy Face to convey sleep or sleepiness.",U+1F634
smiley,Sleepy & Unwell,🫩,Face with Bags Under Eyes,face-with-bags-under-eyes,/face-with-bags-under-eyes,"A yellow smiley face with a strained expression and dark markings under its eyes, likely caused by stress or exhaustion.",U+1FAE9
smiley,Sleepy & Unwell,😷,Face with Medical Mask,face-with-medical-mask,/face-with-medical-mask,"A yellow face wearing a white surgical mask, as used by health workers in hospitals as well as the general public during a pandemic . May be worn to avoid sickness or spreading airborne diseases. Displayed with closed eyes on most platforms. Google, and WhatsApp show this emoji with neutral eyes. Apple changed this emoji to show with smiling eyes in iOS 14.2 and above , as did Microsoft in their Windows 11 November 2021 update. In 2020, this emoji became primarily used in reference to Coronavirus / COVID-19 .",U+1F637
smiley,Sleepy & Unwell,🤒,Face with Thermometer,face-with-thermometer,/face-with-thermometer,"A yellow face with raised or furrowed eyebrows and a thermometer in its mouth. Often depicted with red cheeks, as if feverish. May be used to represent a hospital patient or person with a cold or flu. Differs from other smileys conveying illness, such as 🤢 Nauseated Face (appearing as if it's going to vomit) or 🤕 Face With Head-Bandage (physical injury). Can also be used figuratively to express finding something 'hot', i.e. attractive or arousing.",U+1F912
smiley,Sleepy & Unwell,🤕,Face with Head-Bandage,face-with-head-bandage,/face-with-head-bandage,"A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect. Differs from other smileys conveying illness, such as 🤢 Nauseated Face (appearing as if it’s going to vomit) or 🤒 Face With Thermometer (used especially for colds and flus). Huawei's design for this emoji has a heavily bruised eye as well as a head bandage.",U+1F915
smiley,Sleepy & Unwell,🤢,Nauseated Face,nauseated-face,/nauseated-face,"A sickly-green face with concerned eyes and puffed, often red cheeks, as if holding back vomit. May represent physical illness or general disgust. Not to be confused with 🤮 Face Vomiting . Differs from other smileys conveying sickness, including 🤒 Face With Thermometer (used especially for colds and flus) and 🤕 Face With Head-Bandage (physical injury).",U+1F922
smiley,Sleepy & Unwell,🤮,Face Vomiting,face-vomiting,/face-vomiting,"A yellow face with scrunched, X-shaped eyes spewing bright-green vomit. May represent physical illness or disgust, more intensely so than 🤢 Nauseated Face .",U+1F92E
smiley,Sleepy & Unwell,🤧,Sneezing Face,sneezing-face,/sneezing-face,"A yellow face with scrunched, X-shaped eyes sneezing or blowing its nose into a white tissue, as if from a cold or allergies. Often depicted with a crumpled-looking mouth. May also represent someone in an emotional state wiping away tears, as at a wedding .",U+1F927
smiley,Sleepy & Unwell,🥵,Hot Face,hot-face,/hot-face,"A reddish-orange face with furrowed eyebrows, tongue stuck out, and beads of sweat, as if overheated from high temperatures. Number and position of sweat droplets vary by platforms. May also represent physical attractiveness (slang, hot ). Most platforms feature expressions that are variations on 😰 Anxious Face With Sweat or 😥 Sad but Relieved Face .",U+1F975
